Acetic Acid-d4;CD3COOD
Acetone-d6;CD3COCD3
Acetonitrile-d3;CD3CN
Benzene-d6;C6D6
Carbon Disulphide;CS2
Carbon Tetrachloride;CCl4
Chloroform-d;CDCl3
Dichloromethane-d2;CD2Cl2
Diethyl Ether (-100 C);(CH3CH2)2O
Dimethyl Ether (-100 C);CH3OCH3
N,N-Dimethyl formamide-d7;Me2NCHO
Dimethyl Sulfoxide-d6;CD3SOCD3
1,4-Dioxan;(OCH2CH2)2
Ethanol-d6;CD3CD2OD
Methanol-d4;CD3OD
Nitrobenzene;C6D5NO2
Nitromethane-d3;CD3NO2
Pyridine-d5;C5D5N
1,1,2,2-Tetrachloroethane;CHCl2CHCl2
Tetrahydrofuran-d8;C4D8O
Tetrahydrofuran -100 C;C4H8O
Toluene-d8;C6D5CD3
Trichlorofluoromethane;CFCl3
Trifluoroacetic Acid-d4;CF3COOD
Trifluoroethanol-d3;CF3CD2OD
